Q3624078	sovereign state
Q27150222	fair ground
Q2327385	overseas territory
Q1564373	mission complex
Q583865	territorial collectivity of France
Q838296	international auxiliary language
Q963760	Esperantido
Q1790577	planned language
Q471855	jurisdiction
Q1401527	public holidays in Russia
Q16964297	hadron collider
Q327349	web directory
Q12624746	administrative city in South Korea
Q187587	empire
Q189349	urban legend
Q11688446	Roman deity
Q23015914	fertility deity
Q11391922	public policy school
Q28017217	presidential school
Q27272451	fictional crocodile/alligator
Q12546	Crusades
Q3874316	Neimoidians
Q11122	treaty of the European Union
Q1601555	elevated railway
Q580200	Bundesgericht
Q33648	language isolate
Q3688975	side dish
Q3788231	Municipal government in Canada
Q21994376	war of independence
Q1664473	chain of islands
Q6934728	multilateral treaty
Q1540416	boundary point
Q16933701	Principal city
Q137413	administrative territorial entity of Azerbaijan
Q511056	solar deity
Q3814081	app store
Q4993117	Brücke
Q58017	subdistrict of Botswana
Q3401774	prime meridian
Q18669875	incident
Q2014814	potentially hazardous object
Q265392	near-Earth object
Q126351	Autobot
Q1767829	comprehensive university
Q820084	mountain park
Q15077303	landscape garden
Q4057683	states of the German Empire
Q239582	symphonic orchestra
Q2139582	Reichsland
Q883199	German law
Q458063	ancient lake
Q15646485	division of British India
Q1639354	simultaneum
Q985073	United Nations trust territory
Q63076981	district of Kerala
Q620749	dogma
Q12827256	myth
Q15058985	province of Pakistan
Q12781	Giardino all'italiana
Q864306	airborne forces
Q6634155	National stadium
Q174546	Antichrist
Q12356456	viceroyalty
Q6942541	musical collective
Q21748148	Formula One constructor
Q158683	province of Afghanistan
Q582577	economic policy
Q45713	Titan
Q3685430	municipality of Armenia
Q662073	French opera
Q47310180	mechanized infantry unit
Q210337	media player
Q240795	tag editor
Q3178414	Winter Youth Olympic Games
Q193560	district of Israel
Q209325	region of Belarus
Q1826286	religious movement
Q20858006	Federal law enforcement agency of the United States
Q4373614	settlement of Moscow
Q123266	district of Albania
Q41971160	subway tunnel
Q1825472	covered bridge
Q167772	digital container format
Q28379876	multimedia container
Q620615	mobile app
Q2721136	image hosting service
Q1148974	basketball position
Q798373	guard
Q192498	administrative territorial entity of France
Q93267	isthmus
Q3998530	ancient university of Scotland
Q184122	autonomous okrug of Russihttps://ezcheats.ru/
Q187579	24 Hours of Le Mans
Q15296535	Japanese manga magazine
Q1740966	public transport bus service
Q56436498	village in India
Q3254959	races
Q267596	ancient Greek temple
Q1179466	de facto regime
Q3252884	Gau
Q64547452	original soundtrack album
Q2302080	gravitational-wave detector
Q4213	telescope
Q1062138	Ritchey–Chrétien telescope
Q321839	accord
Q261335	Viennese coffee house
Q15731071	character from Tolkien's legendarium
Q1243067	double monastery
Q1205140	barrier island
Q28920142	array programming language
Q28922882	modular programming language
Q15087423	ISO standard
Q1628553	None
Q367293	convention
Q1069042	district of Swaziland
Q17316289	region of Swaziland
Q2264955	None
Q23834194	literary group
Q3192420	Network Information Center
Q1221067	None
Q139228	region of Togo
Q320501	Landtag
Q3413443	four-masted barque
Q166886	duke
Q2366336	seigneur
Q3001185	Jewish denomination
Q2481505	audio codec
Q830840	audio compression
Q20198160	lossy audio coding format
Q261362	employment agency
Q1373429	video editing software
Q4801521	arts festival
Q1214953	large village of Hungary
Q673767	Art competitions at the Olympic Games
Q1595408	climatic health resort
Q22333190	Kyrgyzstani parliamentary election
Q88556	garrison
Q30124446	legislative building
Q792425	large igneous province
Q27163939	octadeca-9,12-dienoic acid
Q20819285	Premium railway station
Q46997958	climate of geographic location
Q896525	Landesbank
Q1210425	internet hosting service
Q1293220	physical phenomenon
Q28458327	physical paradox
Q925667	computer simulation
Q1377943	ocean bank
Q442927	party newspaper
Q657449	parade
Q473853	school shooting
Q3307578	murder–suicide
Q62098611	Museum of Decorative Arts
Q2546327	socialist order of merit
Q693039	region of Kyrgyzstan
Q7248095	professional services network
Q118289	pericope
Q272090	Mediterranean Games
Q15060435	Marine mammal park
Q575187	Israeli-occupied territories
Q1933026	rocket launch site
Q18330146	cultural foundation
Q2877653	church archive
Q10752596	Gerudo
Q1382893	province of Panama
Q50694621	tidal power station
Q12176345	Hylian
Q17597793	air defense force
Q1200701	design museum
Q27250	tidal creek
Q2069715	pontifical academy
Q3403338	community council
Q734454	tribute album
Q216057	barque
Q1230110	district of Sri Lanka
Q56632662	cemetery sector
Q8031749	Wonder Horse
Q52688389	animal actor
Q17145545	Micro-series
Q1437937	permissive free software licence
Q62505	physics engine
Q1139056	livery company
Q29430681	triad
Q573	day
Q5418962	private equity firm
Q1366274	None
Q6458277	LGBT rights organization
Q23929227	place of national remembrance
Q42336866	atletics club
Q8096	lexicon
Q60297	region of Western Australia
Q841985	domain
Q133744	tour operator
Q21281028	rowing governing body
Q3685463	corregimiento
Q51286079	geographical society
Q2057658	cadet branch
Q1083980	Studium Generale
Q1324426	coral island
Q2523837	Brandenburg colonial empire
Q460338	imperial circle of the Holy Roman Empire
Q1755471	Jaffa
Q841176	Voskhod
Q3687335	Council of state
Q1798550	petty kingdom
Q5465729	foot guards
Q1307348	Polish Badminton Championships
Q2647159	municipal council
Q133004	diaspora
Q1921438	merchant bank
Q1209504	Dichterkreis
Q25392016	international shrine
Q838625	terrace
Q316655	tripoint
Q22669535	Liberian general election
Q5164823	contact binary
Q24286894	fictional humanoid species
Q40831	comedy
Q33120885	Wikimedia special project
Q5193152	cult video game
Q1135180	geodesic dome
Q839470	sacred language
Q216851	skerry
Q3032137	district of the canton of Ticino
Q23560807	None
Q861437	canon
Q8053529	Yiddish song
Q14942889	allmennaksjeselskap
Q61707781	network of spacecraft communication facilities
Q217577	diploma
Q25810847	folkloristic character
Q2216973	territory of Mexico
Q1640361	climbing area
Q847573	WTA Tournament of Champions
Q1420027	fishing port
Q57628356	Ciudad
Q756637	application framework
Q13741	integrated development environment
Q58841125	women's national rugby union team
Q184781	traditional animation
Q3565868	rail transport
Q319714	fjard
Q148319	planetarium
Q1294035	college for advanced studies
Q1838229	geosocial networking
Q55312620	None
Q627006	normal school
Q5001853	business channel
Q356936	exclusion zone
Q4430243	social organization
Q5659726	state agency
Q3143387	ministry of the Netherlands
Q27865755	Canadian federal department or agency
Q15055419	administrative territorial entity of Sierra Leone
Q19373819	accident investigation agency
Q202199	inland island
Q21528797	reitoria of Portugal
Q1001388	budget label
Q1314535	border barrier
Q27095194	bookshop neighbourhood
Q31615	cove
Q7604698	statutory authority
Q1941779	Modehaus
Q24565488	fictional starfish
Q29469577	LGBT historic place
Q16889960	winter circus
Q56195017	circus building
Q7241485	Presidential elections in Singapore
Q46999258	truth and reconciliation commission
Q188040	quarry
Q26205080	underwater diving site
Q13641190	open joint-stock company
Q1060398	4D film
Q685320	municipality of Qatar
Q1631107	bibliography
Q33527	Iranian languages
Q7162538	Pene
Q633454	ROM cartridge
Q20572379	departement
Q6867215	infrastructure ministry
Q727898	phased array
Q29006203	character from The Legend of Zelda
Q29586504	Twili
Q182531	battleship
Q991937	German Historical Institute
Q2248139	Anglo-Burmese wars
Q1411766	predella
Q16209265	bomber command
Q987075	new university
Q878123	racing
Q22704308	bridge failure
Q7446268	segmental bridge
Q1780353	kommunaler Spitzenverband
Q1126018	None
Q1513223	station group
Q16000417	National Trail
Q1500352	local municipality
Q188976	counterculture
Q264965	subculture
Q1465101	man-portable air-defense system
Q10855061	archaeological find
Q179723	sacrifice
Q833053	theme
Q20746571	public company limited by shares
Q17362054	stream
Q17105874	cultural history museum
Q217295	mass
Q6941842	music for the Requiem Mass
Q1531518	military ordinariate
Q873000	canzone
Q1846372	Federal Public Service
Q1570591	semi-rigid airship
Q24074280	noble family name
Q15782973	Amt
Q7354827	rock musical
Q24715171	Lebanese general election
Q41806250	parish of Bermuda
Q124714	spring
Q55106292	None
Q12599	ice sheet
Q188924	galley
Q16518	barge
Q2929259	None
Q42414514	bookstore chain
Q1135885	circumnavigation
Q1802369	None
Q2238143	Red Cross Hospital
Q5059994	center of excellence
Q274153	water tower
Q18226756	Landtag electoral district
Q1654422	toon
Q6604094	character from Who Framed Roger Rabbit
Q2948359	chamber of commerce in France
Q1153777	legislative assembly
Q10553309	legislative house
Q1559783	Military Order of Savoy
Q10341362	dynastic order of Portugal
Q446828	Sisters of Loreto churches
Q253326	cadastral municipality
Q2368579	Surinamese Badminton Championships
Q5811416	district in Spain
Q55619935	dictionary of the Danish language
Q6054776	international parliament
Q7574919	specialized municipality in Alberta
Q337820	graphics library
Q29642875	C library
Q3397659	concrete arch bridge
Q1292111	family of artists
Q769696	ethnic minority
Q2285706	head of government
Q56561355	fictional gang
Q20973135	administrative territorial entity of the Kingdom of Hanover
Q46992916	Landdrostei
Q1684600	print news magazine
Q1295201	grocery store
Q442799	faubourg
Q273039	World Youth Day
Q1762524	planned community in France
Q231002	nationality
Q2133327	None
Q1944455	Mongolia International Badminton Championships
Q1054898	mind game
Q6619802	fictional mode of transport
Q22338329	federally funded research and development center
Q20937557	series
Q2104072	pontoon bridge
Q2000899	North of Scotland Badminton Championships
Q2470219	Christmas hit single
Q837171	financial services
Q7257707	public bodies of the Scottish Government
Q2065510	Badminton at the Pacific Games
Q3421679	rebbetzin
Q40640545	Place of Execution
Q1246258	artillery gun
Q19838071	cassette robots
Q16659419	railway hotel
Q2658935	beauty contest
Q2022036	golf club
Q25448932	Vietnamese legislative election
Q1701967	coastal line
Q15636229	surgical procedure
Q814610	emergency service
Q2296548	radio programming
Q28081313	municipality section
Q1048652	autonomous oblast
Q39881836	None
Q25343327	Haitian parliamentary election
Q969090	Swiss Badminton Championships
Q3931970	metropolitan region in Brazil
Q799657	Badminton at the Summer Universiade
Q637017	episcopal conference
Q1322402	nonbuilding structure
Q38888551	Award honoring women
Q190304	central specialist library
Q18587891	pottery studio
Q1774898	clinic
Q1562299	Turmbahnhof
Q23759397	Municipality of Bangladesh
Q1741788	None
Q91914	flak tower
Q47486001	silent Soviet black and white short film
Q3091606	Supreme Soviet
Q391009	Catholic religious order
Q62834786	biblical proper name
Q65630486	fictional city-state
Q3078933	Troupes de marine
Q60370083	hussar regiment
Q1362225	warehouse
Q107706	armistice
Q10831626	Province (South Vietnam)
Q19194857	None
Q5036886	Captaincies of the Spanish Empire
Q1369077	British Academy Television Awards
Q1763527	constituent state
Q15623456	administrative territorial entity of a defunct state
Q32053225	None
Q5278332	dining club
Q156362	winery
Q183061	facade
Q657100	colonnade
Q190705	zentralorgan
Q1006644	federal government
Q28203007	administrative sector
Q2388283	téléroman
Q1179791	glass factory
Q3044799	department of France in Algeria
Q18642164	functional command
Q3663337	train category in Italy
Q811704	rolling stock class
Q6422017	None
Q190996	pediment
Q216169	execution by firing squad
Q20127274	certain aspects of a person's life
Q1365756	reprisal
Q6017969	scenic viewpoint
Q7832815	trailhead
Q188507	apartment
Q50080181	artificial luge track
Q1202402	townhouse
Q75971206	private tax collector
Q11780435	monthly magazine
Q47185658	Freedom House country rank
Q72408184	None
Q244326	salt evaporation pond
Q6502154	exploration
Q58232557	split single
Q3491994	subdistrict
Q52834234	company (Italian legal concept)
Q1762314	Danamon Open
Q283977	parvise
Q18751767	sand beach
Q65596297	live single
Q1426795	flagship store
Q697279	petition
Q2375914	None
Q2824642	public administration of France
Q18039177	fictional spacecraft class
Q3508250	Syndicat intercommunal
Q27535996	region of Nigeria
Q740881	magic carpet
Q1320217	central government
Q891841	Schmidt camera
Q2819123	expanded universe
Q2142766	Ministry of Religious Affairs
Q25343648	Jamaican legislative election
Q22343980	Senegalese general election
Q322563	vocational school
Q17303212	self-administered division of Burma
Q2280241	FIBA Oceania Championship for Women
Q299948	BP National Championships
Q300007	Erste Bank Open
Q68902449	twofer compilation
Q56863006	officially recognized private school
Q1090212	Polymultipliée de l'Hautil
Q3927244	boroughs of Bologna
Q1148351	very-long-baseline interferometry
Q58327774	research collaboration
Q1471069	Mittelschule
Q910597	signalling control
Q824385	little black dress
Q2144456	evening dress
Q29642824	fashion in film
Q1065656	health club
Q1771692	epilogue
Q1192440	history of the administrative division of Russia
Q348	time capsule
Q3920047	computing center
Q10732476	art collector
Q647882	summer school
Q4057659	subdivision of Kiev
Q26958726	geological museum
Q1523279	Ministry of Kultus
Q35637	Nobel Peace Prize
Q746654	law review
Q21509433	American Society of Cinematographers Award
Q1792372	character
Q25449075	Bahamian general election
Q57334497	retail outlet
Q880492	Black Reel Awards
Q1399352	featuring
Q15838706	football championship
Q6583066	civic center
Q92107	quadrangular castle
Q2097994	municipal corporation
Q61298104	neighborhood in Bronx, New York City
Q1414426	film database
Q5283563	district of the Northwest Territories
Q867738	Christian school
Q595732	line infantry
Q11419619	shirokuban
Q15587490	None
Q6311907	circuit court
Q1373407	Preferential trading area
Q2945285	family entertainment center
Q25391	dune
Q19403959	railway accident
Q19152599	university of applied sciences
Q2063640	cruise
Q25448839	Honduran legislative election
Q7192831	public body in Hong Kong
Q851775	Kakku
Q11423613	PREMIUM SATURDAY
Q1640824	inscription
Q160047	maglev train
Q55645123	health care provider
Q43067961	employee-owned company
Q21073029	disaster remains
Q67515288	cinema of country or region
Q22281036	Kenyan parliamentary election
Q12376478	neighbourhood of Tartu
Q3023711	derecho
Q13132705	None
Q7981903	Welsh Government sponsored bodies
Q52084107	Church of England school
Q1661	verse
Q24581379	podcast network
Q3500564	municipality of Nuevo León
Q7933385	violin sonata
Q24568879	Nepalese legislative election
Q4265939	locomotive manufacturing
Q57273768	branch
Q624050	National Tourist Routes in Norway
Q3117865	hotel group
Q15051339	opening
Q838795	comic strip
Q958822	maternity hospital
Q154773	yeshiva
Q3091020	Vidhan Sabha
Q19839310	air district
Q1650942	Numbered Air Force
Q3677932	barrio of Puerto Rico
Q2624046	sierra
Q6955657	NUTS 3 statistical region of the Republic of Ireland
Q1523821	socken
Q7655015	Swedish name
Q505837	soldier name
Q3390714	None
Q1116728	artillery
Q10284194	fortress of Brazil
Q813672	basin
Q8261440	canal for transporting water
Q3302125	state decoration
Q6763949	beopjeongdong
Q6979492	National Youth Council
Q67421961	imperial ordinance
Q11415657	professional name
Q55477584	genomic research center
Q3573216	None
Q8524	association football pitch
Q12056827	None
Q64470499	natural nuclear fission reactor
Q1969448	term
Q66363169	Lutheran hymnal
Q493169	children's song
Q12592228	district court of South Korea
Q62018250	LGBT film festival
Q1051522	Irish name
Q2565300	number-one album in the US
Q268082	Romulan
Q10888408	London Grand Prix Gold
Q865132	merchant navy
Q399541	board of education
Q15731648	fictional food
Q24258416	None
Q847301	political campaign
Q2101619	political slogan
Q854995	television advertisement
Q7631075	administrative territorial entity of Switzerland
Q5383567	episodic video game
Q189760	voting
Q60784896	netcaster
Q1571674	fortified church
Q2564374	West Sussex Badminton Championships
Q13425769	Worcestershire Badminton Championships
Q299299	Seguros Bolívar Open Medellín
Q67470946	demy
Q318894	evening song
Q27981857	summer song
Q7840289	tribal council
Q30242234	freedom fighter
Q16887036	gap
Q2994460	Jawa
Q17620767	state archive (Italy)
Q2994492	None
Q19960438	Reality Show
Q9510	reality
Q39944272	temporarily occupied territories in Ukraine
Q30143268	Riga Open Badminton Championships
Q2139567	Imperial Conference
Q15921247	constituent locality
Q21554881	Roman Catholic cemetery
Q251092	Bayern-Rundfahrt
Q25343631	Salvadoran legislative election
Q153476	Aircraft lease
Q6593033	provincial electoral district of Ontario
Q6046329	Interfaith Dialog Center
Q2901462	municipal library with regional vocation
Q2901446	listed municipal library
Q8178443	librettist
Q616981	province of Brazil
Q1930418	leading lights
Q8563702	Flax mill
Q26878911	Formal garden
Q14867489	European Athletics Youth Championships
Q26265947	Vietnam International Series
Q1417098	inauguration
Q385378	construction
Q11895075	provincial museum in Finland
Q18572173	Finnish International Badminton Championships
Q15835236	military action
Q3411946	None
Q2872808	Autorité organisatrice de transport urbain
Q299561	Open 13
Q1459574	compendium
Q2677993	Dutch International Junior Badminton Championships
Q2283121	Omloop van het Waasland
Q6125853	Internet series
Q7265998	KBS2 Monday-Tuesday drama
Q65963104	video game remaster
Q28531312	legislative term of the Parliament of Turkey
Q3269648	community organization
Q20639925	campaign for the 2016 United States presidential election
Q1064538	quilt
Q16519488	churches in the Roman Catholic archdiocese of Esztergom-Budapest
Q2498244	technology demonstration
Q1114135	register of persons
Q15650921	Wuhan Open
Q3480499	service with nationwide jusridiction
Q751892	caucus
Q1402561	military leader
Q8035084	workplace violence
Q21853243	Grand Prix of Vinnytsia
Q55465477	marine channel
Q8500	Torneo de Montpellier
Q938381	bids for Olympic Games
Q3257212	bilingual book
Q19367404	REV Classic
Q22696329	Bolivian legislative election
Q15020931	hôtel de ville
Q5276122	digital newspaper
Q21944833	terrestrial globe
Q1415139	Iditarod Trail Sled Dog Race
Q550609	Rolf Schock Prizes
Q26235166	Wikidata property to identify organizations in company registers
Q21848887	Christmas hymn
Q1135802	art film
Q15245506	Asmara Circuit
Q149789	limited liability company
Q5282763	dissenting academy
Q62186256	research section
Q1255921	president
Q24628162	None
Q3722112	Italian local elections
Q25091699	Pajot Hills Classic
Q22049119	province of Nepal
Q193424	web service
Q77325570	Polish Police unit
Q336764	junction
Q376167	Rutland–Melton International CiCLE Classic
Q26208895	Visegrad 4 Bicycle Race - GP Hungary
Q783860	belly landing
Q3196	fire
Q2991042	Seiyu Awards
Q1377950	barding
Q26211545	desa
Q3540468	Trophée d'Or Féminin
Q1757063	lido
Q331570	Hopman Cup
Q26722387	Tour Ethiopian Meles Zenawi
Q30250685	None
Q58901591	comparative study
Q547818	Animation Kobe
Q3653994	European Road Championships – Women's junior time trial
Q30894535	European Road Championships – Men's elite time trial
Q1738241	Cellar alley
Q7433672	scientific book
Q22008975	Giro dell'Emilia Donne
Q27042506	None
Q27043925	None
Q27043926	None
Q18646850	State University College
Q109940	duet
Q2954100	UCI Road World Championships – Men's team time trial (trade teams)
Q1498804	multi-family residential
Q23000060	None
Q3775289	None
Q2962925	fictional horse
Q1505582	Pakistan International Badminton Championships
Q21192427	fictional crossover
Q24075459	Volta Internacional Cova da Beira
Q279304	loutrophoros
Q1498024	criterium
Q55978503	Wikidata property for authority control for countries
Q17558136	YouTube channel
Q3117863	isolated human group
Q130695	caste system in India
Q242360	Kshatriya
Q30061057	ambassador of Portugal
Q456692	ambassador to the United Kingdom
Q15235045	metropolitan community of Quebec
Q2864343	prefectoral decree for biotope protection
Q1092873	Circuit des Ardennes
Q3412210	None
Q23745	telenovela
Q54867049	Quarter of Ayios Athanasios Municipality
Q28772038	Wikidata property related to athletics
Q3566966	web documentary
Q2356943	HVDC converter station
Q876040	Wikipedia community
Q2304397	residential tower
Q30493986	None
Q30504812	None
Q1146002	cabinet of curiosities
Q28854537	San Diego Film Award ceremony
Q47012103	mixed-use building
Q42953119	colonial governor
Q854399	Disctrict authority
Q854140	None
Q19298672	None
Q47537101	None
Q3653996	European Road Championships – Men's U23 time trial
Q18711682	vehicle-ramming attack
Q23807848	White Walker
Q29971416	ambassador of Turkey
Q63100611	Category 5 hurricane
Q39372459	Moscow International Film Festival awards
Q1077012	annual general meeting
Q26928534	peace organization
Q41582469	music festival edition
Q43831109	Wikidata property related to architecture
Q22984026	Wikidata property related to law and justice
Q377968	pressurized water reactor
Q37939312	Pro Ötztaler 5500
Q16738862	statuette
Q5187052	Croatia at the FIFA World Cup
Q2202104	Costa Rica at the FIFA World Cup
Q675824	columbarium
Q46999879	La Scala season
Q13426043	volcanic arc
Q47325959	Parish of Polis Chrysochous Municipality
Q47320804	Parish of Dali Municipality
Q3391957	community platform
Q47672466	Kerr, Stuart and Co. “Baretto” class
Q294422	public building
Q6503358	law library
Q28872839	À travers la Flandre-Occidentale-Johan Museeuw Classique
Q50348332	transporter dark ride in bark
Q13723070	local history society
Q50808044	Irken
Q22669850	calligraphic work
Q1614239	compilation
Q51019263	None
Q55716400	fictional ant
Q18683480	Tour de Yorkshire
Q52690603	IGAC rating category
Q3689421	destination marketing organisation
Q48801840	revolutionary government in the Philippines
Q27048407	None
Q27048401	None
Q9698181	city hall and prison
Q10262936	municipal chamber in Brazil
Q38281623	Yemeni ambassador
Q7888495	Permanent Representative to the United Nations
Q50074494	Badminton at the South American Games
Q7330070	foreign minister
Q30318085	sprite in a work of fiction
Q446901	nursing school
Q54856428	WikiCite conference
Q179232	interior design
Q1457145	cooking show
Q51558941	character from Ratchet & Clank
Q1617884	olpe
Q732286	askos
Q20878491	number-one hit
Q1779930	bypass
Q367035	address book
Q350723	country park
Q3652334	UCI Road World Championships – Junior men's time trial
Q3652329	UCI Road World Championships – Junior women's road race
Q6842404	Midland Railway 156 Class
Q163778	pet cemetery
Q28823	textile
Q16705798	fictional bridge
Q18020205	None
Q499916	brooch
Q50316288	comb
Q46847	ring
Q5956785	hymn tune
Q30556121	None
Q18059293	first edition
Q6842395	Midland Railway 1000 Class
Q7392909	SR V class
Q55777361	Spain Masters
Q60809954	single edit
Q51717210	Brabantse Pijl Women Elite
Q56822897	mill building
Q6460131	LT&SR 79 Class
Q61013879	None
Q61013887	None
Q47468117	dance performance
Q61449115	SHAREfactory Theme
Q22951216	None
Q61667227	civil court
Q62030139	centerpiece
Q245005	teapot
Q2860567	None
Q3984907	terzo of Siena
Q36794	door
Q22231117	2.2U
Q1463076	Tour de Feminin-O cenu Českého Švýcarska
Q63308682	radio show episode
Q18562917	high-voltage power line
Q21905924	science fiction short story
Q5513997	GNR Class C1
Q68203958	UCI Road World Championships – Mixed relay team time trial
Q1322323	itinerary
Q6952860	NBR K Class
Q6953540	NER Class C
Q12063732	NER Class C1
Q66239912	badminton match
Q1411996	run-of-the-river power station
Q47258130	scientific conference series
Q586834	express bus service
Q2061246	music library
Q30158720	ambassador of Norway
Q5514010	GNR Stirling 4-2-2
Q248534	Canadian football
Q64742143	Wikidata property related to voice actors
Q36570165	biographical database
Q65560206	memory quilt
Q60883855	None
Q46999986	martyrdom
Q3812488	Coronation of the Hungarian monarch
Q55572761	quilt block
Q62081308	Santo Domingo Junior International Badminton Championships
Q200538	party
Q707482	gift
Q3561331	vitrine
Q1309521	Czech Junior Badminton Championships
Q528892	occupation
Q16538203	None
Q1900326	network
Q66975460	spree killing
Q1259359	drive-by shooting
Q67166221	Hungarian Women's Team Badminton Championships
Q1551668	Greenlandic Team Badminton Championships
Q844385	fire insurance
Q2289123	Singaporean Team Badminton Championships
Q68066457	Lithuanian Women's Team Badminton Championships
Q3027665	live streaming
Q34508	video
Q637866	book review
Q12277	arch
Q264136	Badminton Horse Trials
Q27889498	boxing match
Q73568642	copyright status of an oeuvre
Q2197458	sex scandal
Q2940898	creole case
Q810924	battery storage power station
Q74796742	Citizen Credit Cooperative Bank branch
Q57285129	education company
Q1520848	Jamb statue
Q986177	mediterranean sea
Q17737	theory
Q1647152	shape of the universe
Q64831112	big bang
Q2326055	unmoved mover
Q1006835	Main Street
Q944816	ecozone
Q645924	classical Kuiper belt object
Q4442912	capital of Russia
Q845620	mobile browser
Q672729	Islamic republic
Q3963243	social news website
Q1149061	Sprachraum
Q11271835	state capital
Q1422929	primate city
Q11983070	rural municipality of Norway
Q20683492	special statute region of Chad
Q5007997	special region of Indonesia
Q3267675	holomictic lake
Q3488975	eutrophic lake
Q35785773	hypereutrophic lake
Q3293106	mesotrophic lake
Q17303255	union territory of Burma
Q2974842	lost city
Q1969642	neighborhood of San Francisco
Q1273203	email service provider
Q1343205	file hosting service
Q208674	portmanteau
Q60138	peripteros
Q61763947	municipality of Aragon
Q42402646	Marchen
Q727002	charter
Q22923920	territorial collectivity of France with special status
Q2519150	Displaced city
Q2919801	municipality of Luxembourg
Q646740	landing operation
Q2166013	wiki hosting service
Q6805426	Wikißeta extension
Q16181672	special autonomous city in South Korea
Q5260616	dependency of Norway
Q37146376	fictional puppet
Q25956	space station
Q4994447	Ducal
Q175208	biotope
Q6936383	municipality of Lebanon
Q65943	theorem
Q976981	formula
Q180634	distributed computing
Q58603552	sibling trio
Q1063430	UCI America Tour
Q721639	flag carrier
Q28107315	quartier of Saint Barthélemy
Q52177058	civic building
Q399984	hemisphere of the Earth
Q935773	cromlech
Q15614021	VoIP software
Q635540	softphone
Q943687	VoIP phone
Q81945	Voice over Internet Protocol
Q2189802	Air Transport Auxiliary
Q152005	drainage divide
Q3174392	human feces
Q15613737	municipality of the Northern Mariana Islands
Q3295600	Gungan
Q68295960	Swedish government agency
Q15966439	war criminal
Q754897	geological epoch
Q312468	series
Q474138	war of aggression
Q66818387	Lutheran diocese
Q1121886	compositing
Q3257916	animation software
Q1112897	Rostral column
Q1481677	pleasure garden
Q689863	synchrotron
Q15980953	fiction series
Q12334344	legendary hero
Q25162136	Greek Islands
Q1753652	sailing yacht
Q683363	cutter
Q213907	model organism
Q1850442	administrative territorial entity of Japan
Q621985	Spanish regional parliament
Q1679711	Modellstaat
Q4204491	administrative territorial entity of the Soviet Union
Q20052016	federal university
Q1779157	Panzer division
Q48794661	Zona Arqueológica
Q211405	The Game
Q189524	fleet
Q1284645	edict
Q170539	parody
Q130989	neologism
Q3497366	whaling station
Q1345054	Korsch telescope
Q41812406	None
Q3252795	hospitaller order
Q2250943	composition school
Q26958661	naval museum
Q165044	greenhouse
Q4936585	body of the European Union
Q219919	local mean time
Q852013	shield
Q27104997	civil parish with city status
Q2354107	Reverse-Flash
Q67605749	mixing studio
Q67604973	mastering studio
Q1033831	canticle
Q17000320	theatre museum
Q10650367	None
Q892367	first-rate
Q207452	ship of the line
Q7283	terrorism
Q22695905	Singaporean general election
Q251749	pueblo
Q1940786	quasi-autonomous non-governmental organisation
Q15728610	Esperanto publisher
Q1394657	company register
Q6609748	city of New Brunswick
Q924986	administrative territorial entity of Kiribati
Q770948	okres
Q3487904	processus
Q352425	literary adaptation
Q58632302	specialised museum
Q745545	anti-radiation missile
Q660668	training ship
Q161936	Death
Q14897293	fictional entity
Q15623966	administrative territorial entity of Qatar
Q1924069	trade fair railway station
Q1578744	burial vault
Q1390618	statistical district
Q206122	sightline
Q806824	bank robbery
Q600571	abuse
Q740437	pinacotheca
Q145050	None
Q63364175	ice hockey federation
Q1426546	loyalty program
Q5440534	federal holidays in the United States
Q10608125	octology
Q1798622	governorate
Q848944	merchant vessel
Q769493	rail transport operations
Q19828520	Direct Reporting Unit
Q2552040	web fiction
Q17309849	city district of Turkmenistan
Q11987745	None
Q910919	administrative territorial entity of Cape Verde
Q13218357	city of California
Q15091621	société à responsabilité limitée
Q7574898	specialist law enforcement agency
Q3330995	administrative territorial entity of Nigeria
Q899409	gens
Q29785644	jazz quartet
Q28890616	group of casts
Q1935136	winged words
Q23902382	Israel ambassador
Q132137	icon
Q1474414	broadcasting house
Q1149621	district of Seychelles
Q17317625	South African general election
Q1307560	Jewish museum
Q153026	Euroregion
Q1414342	heliography
Q6031029	information centre
Q86860	Bible translation
Q13034142	Monuments of Japan
Q24933318	Gallo-Roman amphitheatre
Q42428014	anarchist bookstore
Q15219391	list of towns in Alberta
Q847950	dormitory
Q574050	bank group
Q542797	administrative territorial entity of Moldova
Q6972269	national development bank
Q646317	Biathlon World Championships
Q3927250	quarter of the city of Lugano
Q527087	Orders, decorations, and medals of Germany
Q22268901	Austrian legislative election
Q1245089	promontory
Q1094196	national road in Poland
Q5771190	salt cellar
Q15078788	broadcasting
Q155656	will
Q255595	ossuary
Q18011141	fictional military organization
Q1059791	Istari
Q232846	branch
Q1037127	desert planet
Q2006518	royal family
Q5275	astronomical clock
Q7205721	pluvial lake
Q1329397	Assembly of the International Space Station
Q15056995	aircraft model
Q610237	special-purpose district of the United States
Q1192403	concession
Q10296658	cultural heritage site in Ukraine
Q1797122	artist's house
Q6456916	national economy
Q16985745	transportation network company
Q57448432	abandoned proposed controlled-access highway
Q50914552	four-part episode
Q184973	internet radio
Q21076217	art project
Q4115013	law degree
Q237260	Ursus arctos middendorffi
Q17000324	sports museum
Q20105726	three-masted barque
Q5055981	concejo of Asturias
Q722547	Orc
Q450307	elite troops
